"ID","Name","SystemID"
60002212,"Kor-Azor Prime IV (Eclipticum) - Moon Griklaeum - Ishukone Corporation Factory",30005038
60002209,"Kor-Azor Prime V - Moon 1 - Ishukone Corporation Factory",30005038
60010627,"Otou V - Moon 7 - Egonics Inc. Development Studio",30002723
60010624,"Rancer V - Moon 7 - Egonics Inc. Development Studio",30002718
60010621,"Blameston VI - Moon 10 - Egonics Inc. Development Studio",30003026
60010618,"Lirsautton X - Moon 1 - Egonics Inc. Development Studio",30003025
60010615,"Ouelletta V - Moon 1 - Egonics Inc. Development Studio",30005297
60002194,"Shesha V - Ishukone Corporation Factory",30001673
60010612,"Melmaniel VI - Moon 6 - Egonics Inc. Development Studio",30005296
60002191,"Baviasi X - Ishukone Corporation Factory",30001670
60010609,"Parchanier V - Egonics Inc. Development Studio",30002676
60002188,"Baviasi XI - Ishukone Corporation Factory",30001670
60010606,"Parchanier VI - Moon 15 - Egonics Inc. Development Studio",30002676
60002185,"Baviasi IX - Moon 2 - Ishukone Corporation Factory",30001670
60010603,"Stetille IX - Moon 2 - Egonics Inc. Development Studio",30002711
60002182,"Penirgman IX - Moon 2 - Ishukone Corporation Factory",30003488
60010600,"Auberulle VIII - Moon 1 - Egonics Inc. Development Studio",30002709
60002179,"Penirgman IX - Moon 11 - Ishukone Corporation Factory",30003488
60010597,"Ethernity VI - Moon 16 - Egonics Inc. Development Studio",30003033
60002176,"Penirgman VII - Ishukone Corporation Factory",30003488
60010594,"Ethernity VI - Moon 17 - Egonics Inc. Development Studio",30003033
60002173,"Penirgman V - Moon 3 - Ishukone Corporation Factory",30003488
60010591,"Mannar IV - Moon 1 - Egonics Inc. Publisher",30003060
60002170,"Vuorrassi V - Moon 6 - Ishukone Corporation Factory",30001443
60010588,"Groothese X - Moon 10 - Egonics Inc. Development Studio",30003057
60002167,"Oimmo VII - Moon 10 - Ishukone Corporation Factory",30001444
60010585,"Alles VI - Moon 12 - Egonics Inc. Development Studio",30002664
60002164,"Vuorrassi V - Moon 13 - Ishukone Corporation Factory",30001443
60010582,"Pulin V - Moon 8 - Egonics Inc. Development Studio",30002662
60002161,"Hakonen VII - Moon 7 - Ishukone Corporation Factory",30001448
60010579,"Bille XI - Moon 1 - Egonics Inc. Development Studio",30003040
60002158,"Aunsou III - Moon 4 - Ishukone Corporation Factory",30003801
60010576,"Uphene VI - Moon 16 - Egonics Inc. Development Studio",30003043
